Period,Date,Month,Level,Replicate,Treatment,Total,RHPU,RHPR,RHPV,Rain
10,23/07/2014,Jul,2,5,MEGA,9,6,2,1,580
10,23/07/2014,Jul,2,6,MEGA,13,0,1,12,580
10,24/07/2014,Jul,3,7,MEGA,13,5,0,8,440
10,24/07/2014,Jul,3,8,MEGA,11,6,0,5,440
10,24/07/2014,Jul,3,9,MEGA,5,2,0,3,440
10,22/07/2014,Jul,1,1,MEGA,8,4,4,0,640
10,22/07/2014,Jul,1,2,MEGA,11,7,2,2,640
10,22/07/2014,Jul,1,3,MEGA,1,1,0,0,640
10,23/07/2014,Jul,2,4,MESO,15,0,0,15,580
10,23/07/2014,Jul,2,5,MESO,13,3,1,9,580
10,23/07/2014,Jul,2,6,MESO,11,5,0,6,580
10,24/07/2014,Jul,3,7,MESO,33,21,3,9,440
10,24/07/2014,Jul,3,8,MESO,14,10,1,3,440
10,24/07/2014,Jul,3,9,MESO,34,21,1,12,440
10,22/07/2014,Jul,1,1,MESO,5,4,0,1,640
10,22/07/2014,Jul,1,2,MESO,6,1,4,1,640
10,22/07/2014,Jul,1,3,MESO,7,4,1,2,640
13.5,11/10/2010,OctNov,2,4,CONT,6,3,3,0,580
13.5,11/11/2010,OctNov,2,5,CONT,4,3,0,1,580
13.5,11/10/2010,OctNov,2,6,CONT,6,1,5,0,580
13.5,30/10/2014,OctNov,3,7,CONT,3,1,1,1,440
13.5,30/10/2014,OctNov,3,8,CONT,2,1,1,0,440
13.5,31/10/2014,OctNov,3,9,CONT,3,0,2,1,440
13.5,13/11/2014,OctNov,1,1,CONT,9,4,4,1,640
13.5,13/11/2014,OctNov,1,2,CONT,6,0,5,1,640
13.5,14/11/2014,OctNov,1,3,CONT,5,1,3,1,640
13.5,11/10/2010,OctNov,2,4,LMH,20,1,0,19,580
13.5,11/11/2010,OctNov,2,5,LMH,7,7,0,0,580
13.5,11/10/2010,OctNov,2,6,LMH,12,3,6,3,580
13.5,30/10/2014,OctNov,3,7,LMH,35,0,8,27,440
13.5,31/10/2014,OctNov,3,8,LMH,8,0,7,1,440
13.5,31/10/2014,OctNov,3,9,LMH,9,0,6,3,440
13.5,13/11/2014,OctNov,1,1,LMH,14,5,9,0,640
13.5,13/11/2014,OctNov,1,2,LMH,9,5,3,1,640
13.5,14/11/2014,OctNov,1,3,LMH,8,6,2,0,640
13.5,11/10/2010,OctNov,2,4,MEGA,5,0,0,5,580
13.5,11/10/2010,OctNov,2,5,MEGA,3,0,2,1,580
13.5,11/10/2010,OctNov,2,6,MEGA,6,0,6,0,580
13.5,31/10/2014,OctNov,3,7,MEGA,5,3,2,0,440
13.5,31/10/2014,OctNov,3,8,MEGA,4,3,1,0,440
13.5,31/10/2014,OctNov,3,9,MEGA,5,1,4,0,440
13.5,14/11/2014,OctNov,1,1,MEGA,6,4,2,0,640
13.5,14/11/2014,OctNov,1,2,MEGA,3,3,0,0,640
13.5,14/11/2014,OctNov,1,3,MEGA,2,1,1,0,640
13.5,11/10/2010,OctNov,2,4,MESO,9,4,3,2,580
13.5,11/10/2010,OctNov,2,5,MESO,2,1,1,0,580
13.5,11/10/2010,OctNov,2,6,MESO,3,0,0,3,580
13.5,31/10/2014,OctNov,3,7,MESO,11,6,2,3,440
13.5,31/10/2014,OctNov,3,8,MESO,4,0,4,0,440
13.5,31/10/2014,OctNov,3,9,MESO,5,0,5,0,440
13.5,14/11/2014,OctNov,1,1,MESO,1,1,0,0,640
13.5,14/11/2014,OctNov,1,2,MESO,4,4,0,0,640
13.5,14/11/2014,OctNov,1,3,MESO,5,2,3,0,640
12,30/09/2014,Sep,2,4,CONT,2,1,0,1,580
12,30/09/2014,Sep,2,5,CONT,4,4,0,0,580
12,30/09/2014,Sep,2,6,CONT,4,3,0,1,580
12,19/09/2014,Sep,3,7,CONT,2,0,2,0,440
12,19/09/2014,Sep,3,8,CONT,1,1,0,0,440
12,19/09/2014,Sep,3,9,CONT,3,3,0,0,440
12,26/09/2014,Sep,1,1,CONT,3,2,1,0,640
12,26/09/2014,Sep,1,2,CONT,5,3,2,0,640
12,26/09/2014,Sep,1,3,CONT,9,4,5,0,640
12,30/09/2014,Sep,2,4,LMH,19,0,3,16,580
12,30/09/2014,Sep,2,5,LMH,4,3,1,0,580
12,30/09/2014,Sep,2,6,LMH,8,1,2,5,580
12,19/09/2014,Sep,3,7,LMH,15,0,3,12,440
12,19/09/2014,Sep,3,8,LMH,7,1,1,5,440
12,19/09/2014,Sep,3,9,LMH,3,1,2,0,440
12,26/09/2014,Sep,1,1,LMH,3,1,0,2,640
12,26/09/2014,Sep,1,2,LMH,2,0,1,1,640
12,26/09/2014,Sep,1,3,LMH,0,0,0,0,640
12,30/09/2014,Sep,2,4,MEGA,6,3,0,3,580
12,30/09/2014,Sep,2,5,MEGA,5,5,0,0,580
12,30/09/2014,Sep,2,6,MEGA,4,3,1,0,580
12,19/09/2014,Sep,3,7,MEGA,4,4,0,0,440
12,19/09/2014,Sep,3,8,MEGA,1,1,0,0,440
12,19/09/2014,Sep,3,9,MEGA,4,2,2,0,440
12,26/09/2014,Sep,1,1,MEGA,12,5,6,1,640
12,26/09/2014,Sep,1,2,MEGA,6,6,0,0,640
12,26/09/2014,Sep,1,3,MEGA,3,1,2,0,640
12,30/09/2014,Sep,2,4,MESO,5,3,1,1,580
12,30/09/2014,Sep,2,5,MESO,6,6,0,0,580
12,30/09/2014,Sep,2,6,MESO,4,3,1,0,580
12,19/09/2014,Sep,3,7,MESO,6,3,3,0,440
12,19/09/2014,Sep,3,8,MESO,6,2,3,1,440
12,19/09/2014,Sep,3,9,MESO,4,3,1,0,440
12,26/09/2014,Sep,1,1,MESO,11,6,5,0,640
12,26/09/2014,Sep,1,2,MESO,3,2,1,0,640
12,26/09/2014,Sep,1,3,MESO,3,2,1,0,640
