Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
6.5,26/03/2014,MarApr,3,8,CONT,0,RHPV,440
8,13/05/2014,May,3,8,CONT,0,RHPV,440
9,25/06/2014,Jun,3,8,CONT,0,RHPV,440
10,24/07/2014,Jul,3,8,CONT,0,RHPV,440
11,21/08/2014,Aug,3,8,CONT,0,RHPV,440
12,19/09/2014,Sep,3,8,CONT,0,RHPV,440
13.5,30/10/2014,OctNov,3,8,CONT,0,RHPV,440
1,25/10/2013,Oct,3,9,CONT,1,RHPV,440
2,29/11/2013,Nov,3,9,CONT,2,RHPV,440
3,17/12/2013,Dec,3,9,CONT,0,RHPV,440
4,20/01/2014,Jan,3,9,CONT,0,RHPV,440
5,14/02/2014,Feb,3,9,CONT,3,RHPV,440
6.5,27/03/2014,MarApr,3,9,CONT,3,RHPV,440
8,28/05/2014,May,3,9,CONT,4,RHPV,440
9,25/06/2014,Jun,3,9,CONT,12,RHPV,440
10,24/07/2014,Jul,3,9,CONT,2,RHPV,440
11,21/08/2014,Aug,3,9,CONT,1,RHPV,440
12,19/09/2014,Sep,3,9,CONT,0,RHPV,440
13.5,31/10/2014,OctNov,3,9,CONT,1,RHPV,440
1,18/10/2013,Oct,1,1,CONT,0,RHPV,640
2,14/11/2013,Nov,1,1,CONT,0,RHPV,640
3,16/12/2013,Dec,1,1,CONT,1,RHPV,640
4,14/01/2014,Jan,1,1,CONT,0,RHPV,640
5,14/02/2014,Feb,1,1,CONT,0,RHPV,640
6.5,22/04/2014,MarApr,1,1,CONT,0,RHPV,640
8,5/10/2014,May,1,1,CONT,1,RHPV,640
9,23/06/2014,Jun,1,1,CONT,0,RHPV,640
10,22/07/2014,Jul,1,1,CONT,4,RHPV,640
11,22/08/2014,Aug,1,1,CONT,1,RHPV,640
12,26/09/2014,Sep,1,1,CONT,0,RHPV,640
13.5,13/11/2014,OctNov,1,1,CONT,1,RHPV,640
1,18/10/2013,Oct,1,2,CONT,0,RHPV,640
2,14/11/2013,Nov,1,2,CONT,0,RHPV,640
3,16/12/2013,Dec,1,2,CONT,0,RHPV,640
4,14/01/2014,Jan,1,2,CONT,0,RHPV,640
5,2/11/2014,Feb,1,2,CONT,0,RHPV,640
6.5,22/04/2014,MarApr,1,2,CONT,0,RHPV,640
8,21/05/2014,May,1,2,CONT,1,RHPV,640
9,23/06/2014,Jun,1,2,CONT,5,RHPV,640
10,22/07/2014,Jul,1,2,CONT,0,RHPV,640
11,22/08/2014,Aug,1,2,CONT,0,RHPV,640
12,26/09/2014,Sep,1,2,CONT,0,RHPV,640
13.5,13/11/2014,OctNov,1,2,CONT,1,RHPV,640
1,19/10/2013,Oct,1,3,CONT,0,RHPV,640
2,15/11/2013,Nov,1,3,CONT,0,RHPV,640
3,16/12/2013,Dec,1,3,CONT,0,RHPV,640
4,18/01/2014,Jan,1,3,CONT,0,RHPV,640
5,14/02/2014,Feb,1,3,CONT,1,RHPV,640
6.5,23/04/2014,MarApr,1,3,CONT,0,RHPV,640
8,21/05/2014,May,1,3,CONT,0,RHPV,640
9,23/06/2014,Jun,1,3,CONT,1,RHPV,640
10,22/07/2014,Jul,1,3,CONT,0,RHPV,640
11,22/08/2014,Aug,1,3,CONT,1,RHPV,640
12,26/09/2014,Sep,1,3,CONT,0,RHPV,640
13.5,14/11/2014,OctNov,1,3,CONT,1,RHPV,640
1,22/10/2013,Oct,2,4,LMH,6,RHPV,580
2,19/11/2013,Nov,2,4,LMH,22,RHPV,580
3,18/12/2013,Dec,2,4,LMH,0,RHPV,580
4,27/01/2014,Jan,2,4,LMH,4,RHPV,580
5,2/12/2014,Feb,2,4,LMH,5,RHPV,580
6.5,28/03/2014,MarApr,2,4,LMH,5,RHPV,580
8,5/9/2014,May,2,4,LMH,19,RHPV,580
9,24/06/2014,Jun,2,4,LMH,62,RHPV,580
10,23/07/2014,Jul,2,4,LMH,84,RHPV,580
11,20/08/2014,Aug,2,4,LMH,36,RHPV,580
12,30/09/2014,Sep,2,4,LMH,16,RHPV,580
13.5,11/11/2014,OctNov,2,4,LMH,19,RHPV,580
1,22/10/2013,Oct,2,5,LMH,5,RHPV,580
2,26/11/2013,Nov,2,5,LMH,0,RHPV,580
3,18/12/2013,Dec,2,5,LMH,0,RHPV,580
4,17/01/2014,Jan,2,5,LMH,0,RHPV,580
5,17/02/2014,Feb,2,5,LMH,6,RHPV,580
6.5,29/03/2014,MarApr,2,5,LMH,7,RHPV,580
8,5/9/2014,May,2,5,LMH,4,RHPV,580
9,24/06/2014,Jun,2,5,LMH,11,RHPV,580
10,23/07/2014,Jul,2,5,LMH,22,RHPV,580
11,20/08/2014,Aug,2,5,LMH,4,RHPV,580
12,30/09/2014,Sep,2,5,LMH,0,RHPV,580
13.5,11/12/2014,OctNov,2,5,LMH,0,RHPV,580
1,23/10/2013,Oct,2,6,LMH,4,RHPV,580
2,26/11/2013,Nov,2,6,LMH,2,RHPV,580
3,18/12/2013,Dec,2,6,LMH,0,RHPV,580
4,27/01/2014,Jan,2,6,LMH,4,RHPV,580
5,17/02/2014,Feb,2,6,LMH,1,RHPV,580
6.5,1/4/2014,MarApr,2,6,LMH,1,RHPV,580
8,5/9/2014,May,2,6,LMH,12,RHPV,580
9,24/06/2014,Jun,2,6,LMH,12,RHPV,580
10,23/07/2014,Jul,2,6,LMH,14,RHPV,580
11,20/08/2014,Aug,2,6,LMH,11,RHPV,580
12,30/09/2014,Sep,2,6,LMH,5,RHPV,580
13.5,11/11/2014,OctNov,2,6,LMH,3,RHPV,580
1,24/10/2013,Oct,3,7,LMH,18,RHPV,440
2,28/11/2013,Nov,3,7,LMH,4,RHPV,440
3,17/12/2013,Dec,3,7,LMH,1,RHPV,440
4,20/01/2014,Jan,3,7,LMH,8,RHPV,440
5,13/02/2014,Feb,3,7,LMH,8,RHPV,440
6.5,26/03/2014,MarApr,3,7,LMH,13,RHPV,440
8,5/12/2014,May,3,7,LMH,17,RHPV,440
9,25/06/2014,Jun,3,7,LMH,62,RHPV,440
10,24/07/2014,Jul,3,7,LMH,76,RHPV,440
11,21/08/2014,Aug,3,7,LMH,43,RHPV,440
12,19/09/2014,Sep,3,7,LMH,12,RHPV,440
13.5,30/10/2014,OctNov,3,7,LMH,27,RHPV,440
1,24/10/2013,Oct,3,8,LMH,3,RHPV,440
2,29/11/2013,Nov,3,8,LMH,2,RHPV,440
3,17/12/2013,Dec,3,8,LMH,0,RHPV,440
4,25/01/2014,Jan,3,8,LMH,3,RHPV,440
5,13/02/2014,Feb,3,8,LMH,8,RHPV,440
6.5,27/03/2014,MarApr,3,8,LMH,1,RHPV,440
8,13/05/2014,May,3,8,LMH,1,RHPV,440
9,25/06/2014,Jun,3,8,LMH,29,RHPV,440
10,24/07/2014,Jul,3,8,LMH,60,RHPV,440
11,21/08/2014,Aug,3,8,LMH,7,RHPV,440
12,19/09/2014,Sep,3,8,LMH,5,RHPV,440
13.5,31/10/2014,OctNov,3,8,LMH,1,RHPV,440
1,25/10/2013,Oct,3,9,LMH,19,RHPV,440
2,29/11/2013,Nov,3,9,LMH,3,RHPV,440
3,17/12/2013,Dec,3,9,LMH,0,RHPV,440
4,20/01/2014,Jan,3,9,LMH,18,RHPV,440
5,14/02/2014,Feb,3,9,LMH,3,RHPV,440
6.5,27/03/2014,MarApr,3,9,LMH,0,RHPV,440
8,28/05/2014,May,3,9,LMH,18,RHPV,440
9,25/06/2014,Jun,3,9,LMH,14,RHPV,440
10,24/07/2014,Jul,3,9,LMH,30,RHPV,440
11,21/08/2014,Aug,3,9,LMH,7,RHPV,440
12,19/09/2014,Sep,3,9,LMH,0,RHPV,440
13.5,31/10/2014,OctNov,3,9,LMH,3,RHPV,440
1,18/10/2013,Oct,1,1,LMH,2,RHPV,640
2,14/11/2013,Nov,1,1,LMH,1,RHPV,640
3,16/12/2013,Dec,1,1,LMH,0,RHPV,640
4,14/01/2014,Jan,1,1,LMH,0,RHPV,640
5,14/02/2014,Feb,1,1,LMH,0,RHPV,640
6.5,22/04/2014,MarApr,1,1,LMH,1,RHPV,640
8,5/10/2014,May,1,1,LMH,2,RHPV,640
9,23/06/2014,Jun,1,1,LMH,4,RHPV,640
10,22/07/2014,Jul,1,1,LMH,0,RHPV,640
11,22/08/2014,Aug,1,1,LMH,1,RHPV,640
12,26/09/2014,Sep,1,1,LMH,2,RHPV,640
13.5,13/11/2014,OctNov,1,1,LMH,0,RHPV,640
1,18/10/2013,Oct,1,2,LMH,0,RHPV,640
2,14/11/2013,Nov,1,2,LMH,8,RHPV,640
3,16/12/2013,Dec,1,2,LMH,0,RHPV,640
4,14/01/2014,Jan,1,2,LMH,0,RHPV,640
5,2/11/2014,Feb,1,2,LMH,1,RHPV,640
6.5,22/04/2014,MarApr,1,2,LMH,1,RHPV,640
8,21/05/2014,May,1,2,LMH,1,RHPV,640
9,23/06/2014,Jun,1,2,LMH,0,RHPV,640
10,22/07/2014,Jul,1,2,LMH,0,RHPV,640
11,22/08/2014,Aug,1,2,LMH,0,RHPV,640
12,26/09/2014,Sep,1,2,LMH,1,RHPV,640
13.5,13/11/2014,OctNov,1,2,LMH,1,RHPV,640
1,19/10/2013,Oct,1,3,LMH,0,RHPV,640
2,15/11/2013,Nov,1,3,LMH,0,RHPV,640
3,16/12/2013,Dec,1,3,LMH,0,RHPV,640
4,18/01/2014,Jan,1,3,LMH,0,RHPV,640
5,14/02/2014,Feb,1,3,LMH,0,RHPV,640
6.5,23/04/2014,MarApr,1,3,LMH,1,RHPV,640
8,21/05/2014,May,1,3,LMH,2,RHPV,640
9,23/06/2014,Jun,1,3,LMH,0,RHPV,640
10,22/07/2014,Jul,1,3,LMH,4,RHPV,640
11,22/08/2014,Aug,1,3,LMH,0,RHPV,640
12,26/09/2014,Sep,1,3,LMH,0,RHPV,640
13.5,14/11/2014,OctNov,1,3,LMH,0,RHPV,640
