Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
4,17/01/2014,Jan,2,5,CONT,3,RHPR,580
4,27/01/2014,Jan,2,6,CONT,21,RHPR,580
4,27/01/2014,Jan,2,4,LMH,0,RHPR,580
4,17/01/2014,Jan,2,5,LMH,0,RHPR,580
4,27/01/2014,Jan,2,6,LMH,0,RHPR,580
4,27/01/2014,Jan,2,4,MEGA,12,RHPR,580
4,17/01/2014,Jan,2,5,MEGA,3,RHPR,580
4,27/01/2014,Jan,2,6,MEGA,0,RHPR,580
4,27/01/2014,Jan,2,4,MESO,17,RHPR,580
4,17/01/2014,Jan,2,5,MESO,6,RHPR,580
4,27/01/2014,Jan,2,6,MESO,3,RHPR,580
10,24/07/2014,Jul,3,7,CONT,0,RHPR,440
4,25/01/2014,Jan,3,8,LMH,0,RHPR,440
10,24/07/2014,Jul,3,8,CONT,0,RHPR,440
10,24/07/2014,Jul,3,9,CONT,0,RHPR,440
4,20/01/2014,Jan,3,9,LMH,0,RHPR,440
10,24/07/2014,Jul,3,7,LMH,1,RHPR,440
13.5,30/10/2014,OctNov,3,7,CONT,1,RHPR,440
13.5,30/10/2014,OctNov,3,8,CONT,1,RHPR,440
4,20/01/2014,Jan,3,7,MEGA,7,RHPR,440
4,25/01/2014,Jan,3,8,MEGA,2,RHPR,440
13.5,31/10/2014,OctNov,3,9,CONT,2,RHPR,440
13.5,30/10/2014,OctNov,3,7,LMH,8,RHPR,440
4,14/01/2014,Jan,1,1,CONT,11,RHPR,640
4,14/01/2014,Jan,1,2,CONT,3,RHPR,640
4,18/01/2014,Jan,1,3,CONT,0,RHPR,640
4,14/01/2014,Jan,1,1,LMH,38,RHPR,640
4,14/01/2014,Jan,1,2,LMH,25,RHPR,640
4,18/01/2014,Jan,1,3,LMH,0,RHPR,640
4,14/01/2014,Jan,1,1,MEGA,21,RHPR,640
4,14/01/2014,Jan,1,2,MEGA,11,RHPR,640
4,18/01/2014,Jan,1,3,MEGA,14,RHPR,640
4,14/01/2014,Jan,1,1,MESO,16,RHPR,640
4,14/01/2014,Jan,1,2,MESO,3,RHPR,640
4,18/01/2014,Jan,1,3,MESO,4,RHPR,640
10,23/07/2014,Jul,2,4,CONT,1,RHPR,580
10,23/07/2014,Jul,2,5,CONT,0,RHPR,580
10,23/07/2014,Jul,2,6,CONT,0,RHPR,580
10,23/07/2014,Jul,2,4,LMH,1,RHPR,580
10,23/07/2014,Jul,2,5,LMH,0,RHPR,580
10,23/07/2014,Jul,2,6,LMH,1,RHPR,580
12,19/09/2014,Sep,3,7,CONT,2,RHPR,440
10,24/07/2014,Jul,3,8,LMH,0,RHPR,440
12,19/09/2014,Sep,3,8,CONT,0,RHPR,440
12,19/09/2014,Sep,3,9,CONT,0,RHPR,440
10,24/07/2014,Jul,3,9,LMH,1,RHPR,440
11,21/08/2014,Aug,3,9,MEGA,0,RHPR,440
10,22/07/2014,Jul,1,1,CONT,0,RHPR,640
10,22/07/2014,Jul,1,2,CONT,0,RHPR,640
10,22/07/2014,Jul,1,3,CONT,0,RHPR,640
10,22/07/2014,Jul,1,1,LMH,0,RHPR,640
10,22/07/2014,Jul,1,2,LMH,1,RHPR,640
10,22/07/2014,Jul,1,3,LMH,6,RHPR,640
10,23/07/2014,Jul,2,5,MEGA,0,RHPR,580
10,23/07/2014,Jul,2,4,MEGA,2,RHPR,580
10,23/07/2014,Jul,2,6,MEGA,1,RHPR,580
10,23/07/2014,Jul,2,4,MESO,0,RHPR,580
10,23/07/2014,Jul,2,5,MESO,1,RHPR,580
10,23/07/2014,Jul,2,6,MESO,0,RHPR,580
11,21/08/2014,Aug,3,7,MESO,0,RHPR,440
10,24/07/2014,Jul,3,7,MEGA,0,RHPR,440
11,21/08/2014,Aug,3,8,MESO,0,RHPR,440
11,21/08/2014,Aug,3,9,MESO,0,RHPR,440
10,24/07/2014,Jul,3,8,MEGA,0,RHPR,440
4,20/01/2014,Jan,3,9,MEGA,3,RHPR,440
10,22/07/2014,Jul,1,1,MEGA,4,RHPR,640
10,22/07/2014,Jul,1,2,MEGA,2,RHPR,640
10,22/07/2014,Jul,1,3,MEGA,0,RHPR,640
10,22/07/2014,Jul,1,1,MESO,0,RHPR,640
10,22/07/2014,Jul,1,2,MESO,4,RHPR,640
10,22/07/2014,Jul,1,3,MESO,1,RHPR,640
13.5,11/11/2014,OctNov,2,4,CONT,3,RHPR,580
13.5,11/12/2014,OctNov,2,5,CONT,0,RHPR,580
13.5,11/11/2014,OctNov,2,6,CONT,5,RHPR,580
4,20/01/2014,Jan,3,7,MESO,25,RHPR,440
13.5,31/10/2014,OctNov,3,8,LMH,7,RHPR,440
4,25/01/2014,Jan,3,8,MESO,6,RHPR,440
13.5,13/11/2014,OctNov,1,1,CONT,4,RHPR,640
13.5,13/11/2014,OctNov,1,2,CONT,5,RHPR,640
13.5,14/11/2014,OctNov,1,3,CONT,3,RHPR,640
13.5,11/11/2014,OctNov,2,4,LMH,0,RHPR,580
13.5,11/12/2014,OctNov,2,5,LMH,0,RHPR,580
13.5,11/11/2014,OctNov,2,6,LMH,6,RHPR,580
4,20/01/2014,Jan,3,9,MESO,5,RHPR,440
13.5,31/10/2014,OctNov,3,9,LMH,6,RHPR,440
10,24/07/2014,Jul,3,9,MEGA,0,RHPR,440
13.5,13/11/2014,OctNov,1,1,LMH,9,RHPR,640
13.5,13/11/2014,OctNov,1,2,LMH,3,RHPR,640
13.5,14/11/2014,OctNov,1,3,LMH,2,RHPR,640
13.5,11/11/2014,OctNov,2,4,MEGA,0,RHPR,580
13.5,11/11/2014,OctNov,2,5,MEGA,2,RHPR,580
13.5,11/12/2014,OctNov,2,6,MEGA,6,RHPR,580
10,24/07/2014,Jul,3,7,MESO,3,RHPR,440
13.5,30/10/2014,OctNov,3,7,MEGA,2,RHPR,440
10,24/07/2014,Jul,3,8,MESO,1,RHPR,440
13.5,13/11/2014,OctNov,1,1,MEGA,2,RHPR,640
13.5,13/11/2014,OctNov,1,2,MEGA,0,RHPR,640
13.5,14/11/2014,OctNov,1,3,MEGA,1,RHPR,640
13.5,11/11/2014,OctNov,2,4,MESO,3,RHPR,580
13.5,11/12/2014,OctNov,2,5,MESO,1,RHPR,580
13.5,11/11/2014,OctNov,2,6,MESO,0,RHPR,580
10,24/07/2014,Jul,3,9,MESO,1,RHPR,440
13.5,30/10/2014,OctNov,3,8,MEGA,1,RHPR,440
13.5,31/10/2014,OctNov,3,9,MEGA,4,RHPR,440
13.5,13/11/2014,OctNov,1,1,MESO,0,RHPR,640
13.5,13/11/2014,OctNov,1,2,MESO,0,RHPR,640
13.5,14/11/2014,OctNov,1,3,MESO,3,RHPR,640
12,30/09/2014,Sep,2,4,CONT,0,RHPR,580
12,30/09/2014,Sep,2,5,CONT,0,RHPR,580
12,30/09/2014,Sep,2,6,CONT,0,RHPR,580
12,30/09/2014,Sep,2,4,LMH,3,RHPR,580
12,30/09/2014,Sep,2,5,LMH,1,RHPR,580
12,30/09/2014,Sep,2,6,LMH,2,RHPR,580
13.5,30/10/2014,OctNov,3,7,MESO,2,RHPR,440
12,19/09/2014,Sep,3,7,LMH,3,RHPR,440
12,19/09/2014,Sep,3,8,LMH,1,RHPR,440
13.5,30/10/2014,OctNov,3,8,MESO,4,RHPR,440
13.5,31/10/2014,OctNov,3,9,MESO,5,RHPR,440
12,19/09/2014,Sep,3,9,LMH,2,RHPR,440
12,26/09/2014,Sep,1,1,CONT,1,RHPR,640
12,26/09/2014,Sep,1,2,CONT,2,RHPR,640
12,26/09/2014,Sep,1,3,CONT,5,RHPR,640
12,26/09/2014,Sep,1,1,LMH,0,RHPR,640
12,26/09/2014,Sep,1,2,LMH,1,RHPR,640
12,26/09/2014,Sep,1,3,LMH,0,RHPR,640
12,30/09/2014,Sep,2,6,MEGA,1,RHPR,580
12,30/09/2014,Sep,2,5,MEGA,0,RHPR,580
12,30/09/2014,Sep,2,4,MEGA,0,RHPR,580
12,30/09/2014,Sep,2,4,MESO,1,RHPR,580
12,30/09/2014,Sep,2,5,MESO,0,RHPR,580
12,30/09/2014,Sep,2,6,MESO,1,RHPR,580
12,19/09/2014,Sep,3,8,MEGA,0,RHPR,440
12,19/09/2014,Sep,3,7,MEGA,0,RHPR,440
12,19/09/2014,Sep,3,9,MEGA,2,RHPR,440
12,19/09/2014,Sep,3,7,MESO,3,RHPR,440
12,19/09/2014,Sep,3,8,MESO,3,RHPR,440
12,19/09/2014,Sep,3,9,MESO,1,RHPR,440
12,26/09/2014,Sep,1,1,MEGA,6,RHPR,640
12,26/09/2014,Sep,1,2,MEGA,0,RHPR,640
12,26/09/2014,Sep,1,3,MEGA,2,RHPR,640
12,26/09/2014,Sep,1,1,MESO,5,RHPR,640
12,26/09/2014,Sep,1,2,MESO,1,RHPR,640
12,26/09/2014,Sep,1,3,MESO,1,RHPR,640
