Period,Date,Month,Level,Replicate,Treatment,RHPV,RHPU,RHPR,Total,Rain
2,26/11/2013,Nov,2,5,CONT,1,10,32,43,580
2,26/11/2013,Nov,2,6,CONT,0,13,3,16,580
2,19/11/2013,Nov,2,4,LMH,22,1,41,64,580
2,26/11/2013,Nov,2,5,LMH,0,18,32,50,580
2,26/11/2013,Nov,2,6,LMH,2,8,32,42,580
1,22/10/2013,Oct,2,4,CONT,3,4,19,26,580
1,23/10/2013,Oct,2,5,CONT,1,22,9,32,580
1,23/10/2013,Oct,2,6,CONT,2,7,6,15,580
1,22/10/2013,Oct,2,4,LMH,6,0,32,38,580
1,22/10/2013,Oct,2,5,LMH,5,3,32,40,580
1,23/10/2013,Oct,2,6,LMH,4,0,11,15,580
13.5,11/11/2014,OctNov,2,4,CONT,0,3,3,6,580
13.5,11/12/2014,OctNov,2,5,CONT,1,3,0,4,580
13.5,11/11/2014,OctNov,2,6,CONT,0,1,5,6,580
13.5,11/11/2014,OctNov,2,4,LMH,19,1,0,20,580
13.5,11/12/2014,OctNov,2,5,LMH,0,7,0,7,580
13.5,11/11/2014,OctNov,2,6,LMH,3,3,6,12,580
12,30/09/2014,Sep,2,4,CONT,1,1,0,2,580
12,30/09/2014,Sep,2,5,CONT,0,4,0,4,580
12,30/09/2014,Sep,2,6,CONT,1,3,0,4,580
12,30/09/2014,Sep,2,4,LMH,16,0,3,19,580
12,30/09/2014,Sep,2,5,LMH,0,3,1,4,580
12,30/09/2014,Sep,2,6,LMH,5,1,2,8,580
11,21/08/2014,Aug,3,7,CONT,0,0,0,0,440
11,21/08/2014,Aug,3,8,CONT,0,0,0,0,440
11,21/08/2014,Aug,3,9,CONT,1,4,0,5,440
11,21/08/2014,Aug,3,7,LMH,43,0,2,45,440
11,21/08/2014,Aug,3,8,LMH,7,3,0,10,440
11,21/08/2014,Aug,3,9,LMH,7,2,0,9,440
3,17/12/2013,Dec,3,7,CONT,0,0,15,15,440
3,17/12/2013,Dec,3,8,CONT,1,0,27,28,440
3,17/12/2013,Dec,3,9,CONT,0,0,0,0,440
3,17/12/2013,Dec,3,7,LMH,1,3,21,25,440
3,17/12/2013,Dec,3,8,LMH,0,0,11,11,440
3,17/12/2013,Dec,3,9,LMH,0,0,0,0,440
5,13/02/2014,Feb,3,7,CONT,2,3,3,8,440
5,13/02/2014,Feb,3,8,CONT,3,1,4,8,440
5,14/02/2014,Feb,3,9,CONT,3,0,11,14,440
5,13/02/2014,Feb,3,7,LMH,8,0,6,14,440
5,13/02/2014,Feb,3,8,LMH,8,0,4,12,440
5,14/02/2014,Feb,3,9,LMH,3,0,14,17,440
4,20/01/2014,Jan,3,7,CONT,2,6,0,8,440
4,25/01/2014,Jan,3,8,CONT,1,3,0,4,440
4,20/01/2014,Jan,3,9,CONT,0,5,0,5,440
4,20/01/2014,Jan,3,7,LMH,8,0,0,8,440
4,25/01/2014,Jan,3,8,LMH,3,0,0,3,440
4,20/01/2014,Jan,3,9,LMH,18,1,0,19,440
10,24/07/2014,Jul,3,7,CONT,10,0,0,10,440
10,24/07/2014,Jul,3,8,CONT,0,0,0,0,440
10,24/07/2014,Jul,3,9,CONT,2,0,0,2,440
10,24/07/2014,Jul,3,7,LMH,76,1,1,78,440
10,24/07/2014,Jul,3,8,LMH,60,7,0,67,440
10,24/07/2014,Jul,3,9,LMH,30,1,1,32,440
9,25/06/2014,Jun,3,7,CONT,1,6,1,8,440
9,25/06/2014,Jun,3,8,CONT,0,0,0,0,440
9,25/06/2014,Jun,3,9,CONT,12,4,3,19,440
9,25/06/2014,Jun,3,7,LMH,62,2,17,81,440
9,25/06/2014,Jun,3,8,LMH,29,4,1,34,440
9,25/06/2014,Jun,3,9,LMH,14,4,4,22,440
6.5,26/03/2014,MarApr,3,7,CONT,0,8,0,8,440
6.5,26/03/2014,MarApr,3,8,CONT,0,1,0,1,440
6.5,27/03/2014,MarApr,3,9,CONT,3,8,0,11,440
6.5,26/03/2014,MarApr,3,7,LMH,13,0,0,13,440
6.5,27/03/2014,MarApr,3,8,LMH,1,0,0,1,440
6.5,27/03/2014,MarApr,3,9,LMH,0,7,0,7,440
8,5/12/2014,May,3,7,CONT,2,3,6,11,440
8,13/05/2014,May,3,8,CONT,0,0,2,2,440
8,28/05/2014,May,3,9,CONT,4,17,1,22,440
8,5/12/2014,May,3,7,LMH,17,0,9,26,440
8,13/05/2014,May,3,8,LMH,1,11,5,17,440
8,28/05/2014,May,3,9,LMH,18,1,8,27,440
2,28/11/2013,Nov,3,7,CONT,0,19,8,27,440
2,29/11/2013,Nov,3,8,CONT,0,1,8,9,440
2,29/11/2013,Nov,3,9,CONT,2,0,34,36,440
2,28/11/2013,Nov,3,7,LMH,4,0,10,14,440
2,29/11/2013,Nov,3,8,LMH,2,0,8,10,440
2,29/11/2013,Nov,3,9,LMH,3,0,39,42,440
1,24/10/2013,Oct,3,7,CONT,2,15,28,45,440
1,25/10/2013,Oct,3,8,CONT,0,2,34,36,440
1,25/10/2013,Oct,3,9,CONT,1,4,33,38,440
1,24/10/2013,Oct,3,7,LMH,18,1,46,65,440
1,24/10/2013,Oct,3,8,LMH,3,16,10,29,440
1,25/10/2013,Oct,3,9,LMH,19,1,53,73,440
13.5,30/10/2014,OctNov,3,7,CONT,1,1,1,3,440
13.5,30/10/2014,OctNov,3,8,CONT,0,1,1,2,440
13.5,31/10/2014,OctNov,3,9,CONT,1,0,2,3,440
13.5,30/10/2014,OctNov,3,7,LMH,27,0,8,35,440
13.5,31/10/2014,OctNov,3,8,LMH,1,0,7,8,440
13.5,31/10/2014,OctNov,3,9,LMH,3,0,6,9,440
12,19/09/2014,Sep,3,7,CONT,0,0,2,2,440
12,19/09/2014,Sep,3,8,CONT,0,1,0,1,440
12,19/09/2014,Sep,3,9,CONT,0,3,0,3,440
12,19/09/2014,Sep,3,7,LMH,12,0,3,15,440
12,19/09/2014,Sep,3,8,LMH,5,1,1,7,440
12,19/09/2014,Sep,3,9,LMH,0,1,2,3,440
